title,artist,medium,location,date
Sid Grossman,Dan Weiner,Photograph,National Portrait Gallery,1941
"John F. Kennedy, Jr. and Caroline Kennedy",Harry Benson,Photograph,National Portrait Gallery,1984
Marquis De Lafayette,NA,Sculpture,National Portrait Gallery,1970 cast after 1824 original
Karl Barth,Robert Vickrey,Painting,National Portrait Gallery,1962
Kurt Vonnegut,David Levine,Drawing,National Portrait Gallery,1976
Louis Michel Eilshemius,Joseph Stella,Drawing,National Portrait Gallery,1938
"Marx Brothers -- ""Fiddlers Three""",Walt Disney Studios,Drawing,National Portrait Gallery,c. 1938
Maharishi Mahesh Yogi,Linda Fennimore Guymon,Painting,National Portrait Gallery,1975
Jacob Henry Schiff,Hermann Struck,Print,National Portrait Gallery,1913
Potter Stewart,Gardner Cox,Drawing,National Portrait Gallery,1963
Richard Vaux and Ovid Johnson,Auguste Edouart,Silhouette,National Portrait Gallery,1843
"Paul Whiteman in ""King of Jazz""",Joseph Grant,Drawing,National Portrait Gallery,1930
Carl Wimar Self-Portrait,Carl Wimar,Painting,National Portrait Gallery,c. 1850-1862
Arnold Franz Walter Schoenberg,Aline Fruhauf,Print,National Portrait Gallery,1977
William L. Calley,Louis S. Glanzman,Painting,National Portrait Gallery,1971
George M. Cohan,William Henry Cotton,Drawing,National Portrait Gallery,1935
Daniel Webster,Unidentified Artist,Photograph,National Portrait Gallery,c. 1860
John Jay Chapman,Alfred Quinton Collins,Painting,National Portrait Gallery,c. 1895
Edwin Booth as Hamlet,Charles Dater Weldon,Print,National Portrait Gallery,1875
Andrew Carnegie,Carlo de Fornaro,Print,National Portrait Gallery,1902
Lester Young,Alfred Bendiner,Drawing,National Portrait Gallery,c. 1945
Carl Zigrosser,Mabel Dwight,Print,National Portrait Gallery,1930
Al Hirschfeld,Don Freeman,Print,National Portrait Gallery,1940
James Dean,Dennis Stock,Photograph,National Portrait Gallery,1955
Felix Frankfurter,Gardner Cox,Drawing,National Portrait Gallery,c. 1960
Winfield Scott Schley,Jacques Reich,Drawing,National Portrait Gallery,c. 1899-1920
General Tom Thumb,Charles Baugniet,Print,National Portrait Gallery,1844
Lyndon Johnson and Theodore Green,George Tames,Photograph,National Portrait Gallery,1957
Billy Rose,Edward Huhner Weiss,Painting,National Portrait Gallery,1966
A Tourist's China,Carl Mydans,Photograph,National Portrait Gallery,1978
Thomas William Lamont,Samuel Johnson Woolf,Drawing,National Portrait Gallery,c. 1943
Eddie Cantor,Alfred Bendiner,Drawing,National Portrait Gallery,1925
DeWitt Clinton,James Barton Longacre,Print,National Portrait Gallery,1825
Owen Josephus Roberts,Oskar Stoessel,Drawing,National Portrait Gallery,c. 1940-1945
Marilyn Monroe,Unidentified Artist,Print,National Portrait Gallery,1953
Red Buttons,René Robert Bouché,Drawing,National Portrait Gallery,c. 1954-1959
"Joan Crawford in ""Rain""",Joseph Grant,Drawing,National Portrait Gallery,1932
Charles Samuel Addams,Everett Raymond Kinstler,Painting,National Portrait Gallery,1975
Sinclair Lewis,Soss Efram Melik,Drawing,National Portrait Gallery,1942
"Walter Huston in ""Rain""",Joseph Grant,Drawing,National Portrait Gallery,1932
Charles R. Buckalew,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
P. T. Barnum,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Samuel Downing,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Dr. Lewis Fields Linn,Charles Fenderich,Print,National Portrait Gallery,1837
Down Among the Sheltering Palms,Rosenbaum Studios,Print,National Portrait Gallery,1915
Simon Snyder,David Edwin,Print,National Portrait Gallery,1812
Caroline Chrysler Lee,John Horsburgh,Painting,National Portrait Gallery,1889
Roger Jones,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Samuel Jones,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Clara Louise Kellogg,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Edward Lamb,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Ward Hill Lamon,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Ward Hill Lamon,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Henry S. Lansing,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Mary Todd Lincoln,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
George Brinton McClellan,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
George Brinton McClellan,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Margaret Julia Mitchell,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
John A. Logan,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
George Brinton McClellan,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Mrs. George Brinton McClellan Ellen Marcy,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Alexander M. McCook,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Hugh McCulloch,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Edward McPherson,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
James B. McPherson,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
John McLeod Murphy,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
James W. Nesmith,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Emma Webb,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
George Washington Morrison Nutt,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
George Washington Morrison Nutt,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Annie Jones and mother,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Mercy Lavinia Warren Stratton,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Mercy Lavinia Warren Stratton,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Civil War Camp Scenes / Possibly New York 7th Regiment,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Ryder Group/New York 7th Regiment,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Possibly Alice Dunning,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Man,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
John C. Kelton,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Woman,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Man,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Man,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Woman,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Lemuel Hastings Arnold,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Man,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Man,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Emma Webb,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
John Hughes,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Ambrose Everett Burnside,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Ernestine de Faiber,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Mercy Lavinia Warren Stratton,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Charles and Lavinia Stratton,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Chang and Eng Bunker and children,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Leopold Kahn,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Mercy Lavinia Warren Stratton,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Suzie Reed and Another,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Charles and Lavinia Stratton,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
George Washington Morrison Nutt,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Charles and Lavinia Stratton,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Mercy Lavinia Warren Stratton,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Ernestine de Faiber,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Ernestine de Faiber,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Charles and Lavinia Stratton,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Fat Lady,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
George Washington Morrison Nutt,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
"Joseph, the French Giant",Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Woman,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Henry S. Lane,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Man,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Man,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Man,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Man,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
"Wallack Company, ""True to the Last""",Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Jennie Cleever,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Man,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
John McCullough,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Woman,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
George A. McCall,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Unidentified Man,Mathew Brady Studio,Photographic Negative,National Portrait Gallery,c. 1860-1870
Rudolph Nureyev,Eugene Feldman,Print,National Portrait Gallery,1969
Henry Lewis Stimson,Ernest Hamlin Baker,Drawing,National Portrait Gallery,1941
Boardman Robinson,Thomas Hart Benton,Drawing,National Portrait Gallery,c. 1930
Biography of John C. Calhoun,NA,Document,National Portrait Gallery,1850 (date of publication)
Artists & Entertainers,Al Hirschfeld,Drawing,National Portrait Gallery,1998
Leon Edel,Louis Muhlstock,Drawing,National Portrait Gallery,1931
Ernest Hemingway,Yousuf Karsh,Photograph,National Portrait Gallery,1957
Beaumont Newhall,Philippe Halsman,Photograph,National Portrait Gallery,c. 1943 -1944
Sherwood Eddy,Bernard Sanders,Print,National Portrait Gallery,1932
Ebenezer Dumont,Ehrgott & Forbriger Lithography Company,Print,National Portrait Gallery,c. 1862-1864
James Madison,John Reich,Medal,National Portrait Gallery,1814-1815; completed after the 1809 date on medal
A View of the Patent Office Building,NA,Print,National Portrait Gallery,1852
Patent Office,Bell & Brother,Photograph,National Portrait Gallery,c. 1860
"U.S. Patent Office, South Entrance",E. & H. T. Anthony & Company,Photograph,National Portrait Gallery,c. 1870
John Ewing,Charles Willson Peale,Painting,National Portrait Gallery,1788
